id,creator_id,name,company_name,department,mode,date_format,budget_status,cost_center,sponsor_id,original_budget,approved_revised_budget,scope_statement,delivery_phase,original_start_date,original_end_date,end_date_type,actual_end_date,approved_revised_end_date,original_implementation_date,actual_implementation_date,overall_gyr_status,urls,close_date,closed_at,created_at,updated_at,deleted_at
11,18,ODOT DMS Graphic Templates,ODOT,TOC,closed,Y-m-d,estimate,,20.0,,,Update INC and CLS Templates to include freeway graphics shield. I-270 & SR-315 graphics need to be added as well (01-12).,execution,2022-01-06,2022-04-15,estimate,,,2022-04-15,,green,,2022-04-07,2022-04-07 06:13:17,2022-01-13 04:09:56,2022-04-07 06:13:17,
12,6,test a,Special Client,,open,m-d-Y,estimate,,22.0,,,,phase 1,2022-01-01,2024-02-01,estimate,,,,,yellow,,2022-01-13,2022-01-13 13:06:00,2022-01-13 04:32:11,2023-06-13 13:13:01,
13,18,ODOT Milemarkers,ODOT,TOC,closed,Y-m-d,estimate,,24.0,,,"After the milemarker update was rolled back from prod, Gavincko is working on updating the new milemarkers to include all needed points from the set of old data.",execution,2022-01-05,2022-05-31,estimate,,,2022-04-30,,green,,2022-04-02,2022-04-02 15:33:35,2022-01-13 04:41:19,2022-04-02 15:33:35,
14,18,PTC Response Updates,PTC,TOC,open,Y-m-d,estimate,,29.0,,,"PTC provided a spreadsheet with response updates, as well as a number of new response items to be added (December 16).",planning,2021-12-16,2023-01-01,estimate,,,2022-04-30,,green,,,,2022-01-14 12:29:44,2022-06-01 10:36:42,
15,18,PTC CMM User Auth Issue,PTC,PTC IT,closed,Y-m-d,estimate,,31.0,,,"PTC CMM Contractor user ""John Mundy"" is unable to access the CMM application.",planning,2022-01-10,2022-02-18,estimate,,,2022-02-18,,green,,2022-03-21,2022-03-21 15:41:35,2022-01-14 12:51:05,2022-03-21 15:41:35,
16,2,Implement Date Test,Traxidy,,closed,Y-m-d,estimate,,35.0,,,,,2021-12-08,2022-03-24,estimate,,,2022-01-26,,green,,2022-01-31,2022-01-31 10:03:56,2022-01-17 04:05:15,2022-01-31 10:03:56,
17,18,ODOT 6.17 Maintenance 2022,ODOT,TMC,open,Y-m-d,estimate,,36.0,,,Project encompasses all ODOT Operator config requests and ATMS Maintenance items.,execution,2022-01-01,2023-01-01,firm,2023-01-01,,,,green,,,,2022-01-17 09:37:22,2022-03-21 15:48:41,
18,18,PTC Release 6.17,PTC,ATMS,closed,Y-m-d,estimate,,37.0,,,PTC Release 6.17 Action Items,planning,2022-01-18,2022-03-08,firm,,,2022-03-08,,green,,2022-03-21,2022-03-21 15:45:11,2022-01-18 06:39:53,2022-03-21 15:45:11,
19,24,Traxidy Project,Traxidy Com,IT Dept,open,Y-m-d,estimate,,41.0,100000.0,,,,2022-01-03,2022-11-30,firm,,,,,green,,,,2022-01-19 15:24:09,2022-06-07 14:08:03,2022-06-07 14:08:03
20,2,New Infrastructure Build,,Finance,closed,Y-m-d,estimate,,45.0,,,"The purpose of this project is to:
1. solve the technical issues within our network
2. design a new application and any hardware required
3. Develop documentation to fully explains how we can service the new build
4. Provide training and training material for our customer support group
5. implement the solution(s) before year end 

We need to ensure that the schedule does not slip for the year end implementation and we will spend more money if required.

Communication and updates to the sponsor will be monthly or as otherwise needed.

We will be managed through the PMO and follow the existing planning and execution process as much as possible.",initiation,2022-01-01,2022-04-01,estimate,,,,,yellow,,2022-03-24,2022-03-24 09:27:18,2022-01-23 12:29:46,2022-03-24 09:27:18,
21,2,Testing Next Steps,Traxidy,Executive,closed,Y-m-d,estimate,,50.0,,,,,2022-01-05,2022-07-14,firm,,,,,green,,2022-02-07,2022-02-07 07:48:08,2022-01-25 12:54:45,2022-02-07 07:48:08,
22,27,14256 - Endpoint Computing Security -,Canadian Tire Corporation,Cyber,open,Y-m-d,estimate,9100042,51.0,,,,,2022-01-04,2022-12-30,estimate,,,,,green,,,,2022-01-25 13:20:01,2022-01-25 13:20:01,
23,18,ODOT Ramp Config,ODOT,TOC,closed,Y-m-d,estimate,,52.0,,,Add two ramps as roadways into ATMS.,,2022-01-28,2022-02-04,estimate,,,2022-02-28,,green,,2022-02-12,2022-02-12 09:53:55,2022-01-28 08:48:10,2022-02-12 09:53:55,
24,39,AMD389,Phorce,,open,Y-m-d,estimate,,,8494004.0,,,,2022-02-15,2022-03-03,firm,,,2022-03-12,,green,,,,2022-01-31 15:21:45,2022-01-31 15:21:45,
25,42,Demo,New Company,IT,open,Y-m-d,estimate,CC001,53.0,50000.0,,Here are the details of the requirements,,2022-01-04,2022-02-11,estimate,,,2022-02-11,,green,,,,2022-02-07 02:09:17,2022-02-07 02:09:17,
26,42,Project 1,A new client 2,HR,open,Y-m-d,estimate,CC002,55.0,200000.0,,To continue to expand the functionality of the tool,,2022-02-01,2022-02-04,estimate,,,2022-02-03,,green,,,,2022-02-07 02:42:26,2022-02-07 02:42:26,
27,2,New App Development,Traxidy,Executive,closed,Y-m-d,estimate,,,,,Activities related to continuing the success of Traxidy,execution,2022-01-10,2022-12-31,firm,,,,,green,,2022-09-29,2022-09-29 13:59:09,2022-02-07 06:16:25,2022-09-29 13:59:09,
28,2,This is new for testing,traxidy,Executive,closed,Y-m-d,estimate,,,,,theree us something here,,2022-01-10,2022-12-30,estimate,,,,,green,,2022-02-07,2022-02-07 07:01:19,2022-02-07 07:00:34,2022-02-07 07:01:19,
29,2,This is another test,Traxidy,Executive,closed,Y-m-d,estimate,,,,,This is something here,,2022-01-10,2022-12-30,estimate,,,,,green,,2022-02-07,2022-02-07 07:48:08,2022-02-07 07:02:25,2022-02-07 07:48:08,
30,7,Aram CMS,247 Labs,IT,cancelled,Y-m-d,firm,Test,,10000.0,,Here is a test scope statement,,2022-02-08,2022-03-30,firm,,,2022-03-31,,green,,,,2022-02-07 07:39:40,2023-03-15 07:38:28,
31,2,NEWEST,Traxidy,Executive,closed,Y-m-d,estimate,,,,,his is the statement,,2022-01-10,2022-12-30,estimate,,,,,green,,2022-02-07,2022-02-07 07:48:17,2022-02-07 07:46:27,2022-02-07 07:48:17,
32,2,TEST,Traxidy,,closed,Y-m-d,estimate,,,,,This is a scope,,2022-01-10,2022-12-30,estimate,,,,,green,,2022-02-07,2022-02-07 07:52:54,2022-02-07 07:52:07,2022-02-07 07:52:54,
33,2,Name,,,closed,Y-m-d,estimate,,,,,,,2022-01-04,2022-07-18,estimate,,,,,green,,2022-02-28,2022-02-28 12:42:29,2022-02-09 11:08:05,2022-02-28 12:42:29,
34,43,Project Demo,Company ABC,Mobility,open,Y-m-d,estimate,12345,63.0,1000000.0,,Add GPS tracking through Satellite Locations,,2022-02-14,2022-08-31,estimate,,,2022-05-11,,green,,,,2022-02-14 08:20:10,2022-02-14 08:20:10,
35,32,Project 1,Client Name,,open,Y-m-d,estimate,1001.000,64.0,100000.0,,,,2022-02-19,2022-04-22,firm,,,,,green,,,,2022-02-15 07:58:22,2022-02-15 07:58:22,
36,46,Production Testing.,Traxidy,Computer Science,open,Y-m-d,estimate,Test Cost,,2122221.0,7756776.0,Production Scope Statement,,2022-02-03,2022-02-24,firm,2022-03-09,2022-02-16,2022-03-10,2022-03-12,red,,,,2022-02-28 03:46:27,2022-06-07 14:07:15,2022-06-07 14:07:15
37,2,new test,,,closed,Y-m-d,estimate,,,,,,,2022-03-01,2022-06-23,estimate,,,,,green,,2022-03-01,2022-03-01 12:12:35,2022-03-01 11:23:08,2022-03-01 12:12:35,
38,36,Project A - In Production System,ABC Co.,Marketing,open,Y-m-d,estimate,A1,70.0,1000000.0,,Deliver a new billing platform.,,2022-03-04,2023-03-24,estimate,,,2023-04-06,,green,,,,2022-03-04 09:57:09,2022-03-04 09:57:09,
39,49,Roles and Responsibilites,,,open,Y-m-d,estimate,,77.0,,,"● Roles and Responsibilities to be finalised when Bylaws
finalised
● Wording including “Executive Director” and “Artistic
Director” to be changed to reflect titles in bylaws",,2022-01-03,2022-05-31,estimate,,,,,green,,,,2022-03-07 08:04:12,2022-03-08 16:53:43,2022-03-08 16:53:43
40,49,Adjust legal invoice back to Dec 31/ 2021,,,open,Y-m-d,estimate,,78.0,,,"Bill noted the invoice from Kate’s legal services overlapped
into 2022. Carl to adjust legal invoice back to December
2021 as final December 31.",,2022-02-24,2022-04-07,firm,,,,,green,,,,2022-03-07 08:12:38,2022-03-08 16:53:43,2022-03-08 16:53:43
41,49,Complete Special Resolution to Bylaws,,,open,Y-m-d,estimate,,79.0,,,,,2022-01-03,2022-05-31,estimate,,,,,green,,,,2022-03-07 08:19:22,2022-03-08 16:53:43,2022-03-08 16:53:43
42,49,Lights at Lynx Meadows and Lynx Pointe Signs,,,open,Y-m-d,estimate,,80.0,,,"Lights illuminating signs are solar powered LED.
○ May need to replace converter. Quote
still pending, may need to wait for
warmer weather",,2022-01-03,2022-05-31,estimate,,,,,green,,,,2022-03-07 08:21:17,2022-03-08 16:53:43,2022-03-08 16:53:43
43,49,Lift Station Pump Maintenance,,,open,Y-m-d,estimate,,81.0,,,"2 pumps in a cistern by the building about 40’ deep.
Staggered maintenance. No service done since 2020.
Recommended to get servicing done outside of
summer months (may-sept). Contractor H20 Pro has
done it historically, most recently quoted about $4500
flat charge plus service/ shop rates. James Electric
was a potential alternate contractor for this issue.
Chris to find alternate bids for this service. Back up
generators are inside the building along with all
specific information on the system. Carl would need to
contact H20 Pro to access Lift Station building.",,2022-01-03,2022-04-30,estimate,,,,,green,,,,2022-03-07 08:23:35,2022-03-08 16:53:43,2022-03-08 16:53:43
44,49,Meeting with Sonya Sharp,,,open,Y-m-d,estimate,,82.0,,,"Review minutes from Feb 24 meeting for talking points
Meeting scheduled for April 4 @ 1pm at the Tuscany Fire Station Board Room",,2022-02-24,2022-04-04,firm,,,,,green,,,,2022-03-07 08:26:38,2022-03-08 16:53:43,2022-03-08 16:53:43
45,49,Meeting with Sonya Sharp,,,open,Y-m-d,estimate,,83.0,,,"Review minutes from Feb 24 meeting for talking points
Meeting scheduled for April 4 @ 1pm at the Tuscany Fire Station Board Room",,2022-02-24,2022-04-04,firm,,,,,green,,,,2022-03-07 08:28:08,2022-03-08 16:53:43,2022-03-08 16:53:43
46,49,Meeting with Sonya Sharp,,,open,Y-m-d,estimate,,84.0,,,"Review minutes from Feb 24 meeting for talking points
Meeting scheduled for April 4 @ 1pm at the Tuscany Fire Station Board Room",,2022-02-24,2022-04-04,firm,,,,,green,,,,2022-03-07 08:29:47,2022-03-08 16:53:43,2022-03-08 16:53:43
47,49,Send community tax adjustments spreadsheet,,,open,Y-m-d,estimate,,85.0,,,"In 2019, the community paid $286k to the
city of Calgary in property tax. This
increased to $587k in 2020, and $622k in
2021. This should be reflected in the
services we receive from the city, including
waste collection, road maintenance, street
lighting, etc.
▪ Bill to send community tax
adjustments spreadsheet to board
*Board Meeting with Sonya April 4*",,2022-02-24,2022-04-04,firm,,,,,green,,,,2022-03-07 08:35:06,2022-03-08 16:53:43,2022-03-08 16:53:43
48,49,Reach out to Calgary Roads,,,open,Y-m-d,estimate,,86.0,,,"o Need to have south end of 12 mile coulee
surveyed and discuss repaving
▪ Run-off from Watermark to likely
increase substantially as they
continue to develop.
▪ Henry will also reach out to Calgary
Roads regarding this issue",,2022-02-24,2022-04-07,estimate,,,,,green,,,,2022-03-07 08:39:21,2022-03-08 16:53:43,2022-03-08 16:53:43
49,49,Landscaping & Snow Removal Contract Bids,,,open,Y-m-d,estimate,,87.0,,,"Landscaping & Snow removal (Paradise expires April
30, 2022)
○ Quotes pending
○ Looking at consolidating the greater region of
Blazer water treatment area/
Watermark/ Lynx",,2022-01-03,2022-04-30,firm,,,,,green,,,,2022-03-07 08:42:14,2022-03-08 16:53:43,2022-03-08 16:53:43
50,49,Insurance Quote,,,open,Y-m-d,estimate,,88.0,,,"Insurance (BFL expires May 1, 2022)
○ Carl to obtain competitive quotes once appraisal
received",,2022-02-24,2022-05-01,firm,,,,,green,,,,2022-03-07 08:43:54,2022-03-08 16:53:43,2022-03-08 16:53:43
51,49,Confirm City Waste Collection Takeover,,,open,Y-m-d,estimate,,89.0,,,"Current Waste Collection (expires Sept 15, 2022)
○ Need to confirm city take over by June 15",,2022-02-24,2022-09-15,firm,,,,,green,,,,2022-03-07 08:45:29,2022-03-08 16:53:43,2022-03-08 16:53:43
52,49,Create Architectural Standard Doc for Solar Panels,,,open,Y-m-d,estimate,,90.0,,,"Arch guidelines are in place but vague & subjective with “neighbor friendly” and “not adversely affecting aesthetics of area”.
• Specifics to be added to Architectural Standards:
o Need to be maintained, damage repaired promptly
o City guidelines followed
o Visual provided to board for approval
o Installed panels must adhere strictly to board-approved proposal",,2022-02-24,2022-05-31,estimate,,,,,green,,,,2022-03-07 08:50:06,2022-03-08 16:53:43,2022-03-08 16:53:43
53,49,Send Pet Clean-up email,,,open,Y-m-d,estimate,,91.0,,,"Rhonda noted in Phase 1 that dog faeces in ditches is
substantial and unprecedented
● Robyn observed dog owners in Phase 2 walking dogs
off-leash and doing their business in unfenced yards
● Plan to compose short email to remind homeowners
and their families to pick up after pets
● This is also potentially an issue with other community
members walking through Lynx. If the issue persists,
we may look at further measures ie. a posted
community sign or doggie bag station",,2022-02-24,2022-04-07,firm,,,,,green,,,,2022-03-07 08:51:27,2022-03-08 16:53:43,2022-03-08 16:53:43
54,49,Contact Rockyview County re: Water lines,,,open,Y-m-d,estimate,,92.0,,,"Rockyview County took ownership of Blazer Water
● Plan to reach out to discuss maintenance/ repair of
current broken water line supplying phase 2
● May be a non-issue as alternate line still effective
● Robyn to reach out to confirm whether further action
needed",,2022-02-24,2022-04-07,firm,,,,,green,,,,2022-03-07 08:52:43,2022-03-08 16:53:43,2022-03-08 16:53:43
55,49,Create Agenda for April 7 BOD meeting,,,open,Y-m-d,estimate,,93.0,,,"Contract bids
Charter Property Mgmt Email response goal
Architectural Guideline amendment re: Solar Panel doc review & approval
Sonya Sharp Meeting debrief",,2022-02-24,2022-04-06,firm,,,,,green,,,,2022-03-07 08:56:23,2022-03-08 16:53:43,2022-03-08 16:53:43
56,52,Deck Construction #47,New Jersey Board,Client,open,Y-m-d,estimate,,106.0,,,"The purpose of this project is to:
1. solve the technical issues within our network
2. design a new application and any hardware required
3. Develop documentation to fully explains how we can service the new build
4. Provide training and training material for our customer support group
5. implement the solution(s) before year end 

We need to ensure that the schedule does not slip for the year end implementation and we will spend more money if required.

Communication and updates to the sponsor will be monthly or as otherwise needed.

We will be managed through the PMO and follow the existing planning and execution process as much as possible.",fabrication,2022-12-05,2023-05-26,firm,,2024-01-26,,,red,,,,2022-03-12 12:47:46,2023-06-13 12:59:45,
57,52,FABRICATION - Newark HVAC,New Jersey Board,,closed,Y-m-d,estimate,,,,,,,2021-12-13,2022-03-17,estimate,,,,,green,,2022-03-12,2022-03-12 13:53:28,2022-03-12 13:30:09,2022-03-12 13:53:28,
58,52,Baltec Server Install,New Jersey Board,,open,m-d-Y,estimate,,,,,,,2023-03-06,2023-07-14,estimate,,2023-09-07,,,yellow,,,,2022-03-12 13:46:27,2023-03-23 06:10:06,
59,52,WEEQUAHIC HS HVAC,New Jersey Board,,closed,Y-m-d,estimate,,,,,,,2022-06-27,2022-08-15,firm,,,,,green,,2022-03-12,2022-03-12 13:53:28,2022-03-12 13:47:22,2022-03-12 13:53:28,
60,52,ACEP Marketing Event,New Jersey Board,,open,Y-m-d,estimate,CC-098,,15800.0,,"The purpose of this project is to:
1. solve the technical issues within our network
2. design a new application and any hardware required
3. Develop documentation to fully explains how we can service the new build
4. Provide training and training material for our customer support group
5. implement the solution(s) before year end 

We need to ensure that the schedule does not slip for the year end implementation and we will spend more money if required.

Communication and updates to the sponsor will be monthly or as otherwise needed.

We will be managed through the PMO and follow the existing planning and execution process as much as possible.",planning,2022-02-09,2023-08-01,estimate,,2023-08-17,,,yellow,,,,2022-03-12 13:48:25,2023-03-23 06:05:57,
61,52,TECH HS HVAC,New Jersey Board,,closed,Y-m-d,estimate,,,,,,,2022-06-27,2022-08-15,estimate,,,,,green,,2022-03-12,2022-03-12 13:53:28,2022-03-12 13:49:10,2022-03-12 13:53:28,
62,52,MECHANICAL - Newark HVAC,New Jersey Board,,closed,Y-m-d,estimate,,,,,,,2022-06-27,2022-08-15,estimate,,,,,green,,2022-03-12,2022-03-12 13:53:28,2022-03-12 13:51:12,2022-03-12 13:53:28,
63,52,GWC HS HVAC,New Jersey Board,,closed,Y-m-d,estimate,,,,,,,2022-06-27,2022-08-15,firm,,,,,green,,2022-03-12,2022-03-12 13:53:28,2022-03-12 13:52:08,2022-03-12 13:53:28,
64,56,Newark ESIP,Tozour Energy Systems,,open,Y-m-d,firm,,,10751057.0,,,execution,2021-11-05,2022-12-29,firm,,,2022-08-15,,green,,,,2022-03-14 10:04:24,2022-06-14 08:44:12,2022-06-14 08:44:12
65,56,Arts HS,Tozour Energy Systems,,open,Y-m-d,firm,,,952000.0,,"Arts HS Chiller Replacement
Arts HS UV replacement (60 UVs)
Arts HS RTU Replacement",execution,2021-11-05,2022-08-12,firm,,,2022-08-15,,green,,,,2022-03-14 11:14:33,2022-06-14 08:44:12,2022-06-14 08:44:12
66,56,Barringer HS,Tozour Energy Systems,,open,Y-m-d,firm,,,1268123.0,,,execution,2021-11-05,2022-08-12,firm,,,2022-08-12,,green,,,,2022-03-15 04:15:38,2022-06-14 08:44:12,2022-06-14 08:44:12
67,56,GWC Elementary School,Tozour Energy Systems,,open,Y-m-d,firm,,,1350000.0,,,execution,2021-11-05,2022-08-12,firm,,,2022-08-12,,green,,,,2022-03-15 04:24:40,2022-06-14 08:44:12,2022-06-14 08:44:12
68,56,Weequahic HS,Tozour Energy Systems,,open,Y-m-d,firm,,,969995.0,,,execution,2021-11-05,2022-08-12,firm,,,2022-08-12,,green,,,,2022-03-15 04:26:19,2022-06-14 08:44:12,2022-06-14 08:44:12
69,35,Phase-Type Project,ABC Company,,open,Y-m-d,estimate,,,12445.0,,"Each of the sprints would be shown on the milestones and as any actions or risks or changes come up, they are recorded in the Traxidy area and indicate the sprint number they are part of in the text.
ALSO change the DELIVERY PHASES to be Sprint1, Sprint2 etc.",epic 1,2022-02-04,2022-07-29,estimate,,,,,yellow,,,,2022-03-15 12:43:13,2022-11-24 05:31:56,2022-11-24 05:31:56
70,35,ABC Phase 1 - Order Screen,,,open,Y-m-d,estimate,,,54000.0,,Epic one is the development of an order screen for the company to allow customers to use the website to enter the store then select and place an order.,sprint 1,2022-02-04,2022-03-28,firm,,2022-07-11,,,red,,,,2022-03-15 13:05:45,2022-11-24 05:31:56,2022-11-24 05:31:56
71,35,XYZ Epic 2 - Search tool,,,open,Y-m-d,estimate,CE-098,,23450.0,,epic 2 involves building the search engine for he website and the ordering application,,2022-03-28,2022-05-30,estimate,,,,,green,,,,2022-03-15 13:06:41,2022-11-24 05:31:56,2022-11-24 05:31:56
72,57,Urban Clap,Urban Clap,IT,open,Y-m-d,estimate,,119.0,,,,,2022-03-21,2022-04-22,estimate,,,2022-04-30,,green,,,,2022-03-16 00:47:19,2022-03-16 00:47:19,
73,56,Ocean County Vo Tech Phase 2,D&B Service Group,PM TEAM,closed,Y-m-d,firm,26352.64,121.0,27000.0,,OCVTS GPS PHASE 2 Installation,execution,2022-04-18,2022-04-29,firm,,,2022-04-25,2022-04-19,green,,2022-05-10,2022-05-10 05:33:34,2022-03-16 06:10:17,2022-06-14 08:44:12,2022-06-14 08:44:12
74,56,Franklin Elementary School VRV IVS,D&B Service Group,PM TEAM,closed,Y-m-d,firm,32889,124.0,35000.0,35000.0,"F&I two (2) Four (4) ton split systems for the four classrooms at Franklin ES. 
DBSG will rig units to the roof and install wall brackets per walk-thru.
DBSG will hang and mount four (4) 24,000 BTU indoor ceiling round flow units per submittal, one (10  in each classroom.
DBSG will install interconnecting refrigeration piping as required to connect indoor units to outdoor condensers. (Two indoor units per condenser)
DBSG will provide micropump condensate pumps for each indoor unit and discharge condensate to the rooftop.
SPS to provide electrical power and control wiring as required.
SPS to provide pitch pockets for piping penetrations through the roof area.
SPS to re-configure drop ceiling and tiles as required after installation.
DBSG to evacuate and charge units for proper operation after installation.
DBSC to start-up systems and provide one (1) year installation warranty on installation.
Daikin Applied to provide the manufacturer's warranty on the equipment.",planning,2022-04-11,2022-04-15,estimate,2022-04-15,,2022-04-11,2022-04-11,green,,2022-04-25,2022-04-25 10:47:15,2022-03-16 06:22:45,2022-06-14 08:44:12,2022-06-14 08:44:12
75,65,February 24/ 2022 Meeting,,,open,Y-m-d,estimate,,128.0,,,,,2022-02-24,2022-04-07,firm,,,,,green,,,,2022-03-18 08:43:42,2022-03-18 08:43:42,
76,9,2511 Lakeshore,Gus & Rosa,,open,Y-m-d,estimate,,136.0,,,Management of property including rental and maintenance,,2022-03-23,2023-03-31,firm,,2023-03-31,,,green,,,,2022-03-18 12:46:42,2022-04-05 13:43:19,
77,18,PTC 6.17 Maintenance 2022,PTC,ATMS,open,Y-m-d,estimate,,153.0,,,"PTC Troubleshooting, Client Support & ATMS Maintenance",execution,2022-03-16,2022-12-31,estimate,,,,,green,,,,2022-03-21 15:48:18,2022-04-12 10:46:21,
78,6,New Pro,,,closed,Y-m-d,estimate,,162.0,,,,initiation,2022-05-01,2023-03-03,estimate,,,,,red,,2022-06-28,2022-06-28 06:59:06,2022-03-26 11:51:53,2022-06-28 06:59:06,
79,6,Project 13,No Name,,open,Y-m-d,estimate,,163.0,,,,planning,2022-03-31,2025-01-23,estimate,,,,,red,,,,2022-03-26 12:11:27,2023-06-13 13:14:10,
80,6,ntohing,,,closed,Y-m-d,estimate,,,,,,,2022-03-05,2022-03-31,estimate,,,,,green,,2022-06-28,2022-06-28 06:59:12,2022-03-26 12:15:02,2022-06-28 06:59:12,
81,6,New,,,closed,Y-m-d,estimate,,,,,,,2022-03-26,2022-09-30,estimate,,,,,green,,2022-03-26,2022-03-26 15:02:26,2022-03-26 12:42:27,2022-03-26 15:02:26,
82,56,MTSD Lower Middle School Chiller Replacement,Montgomery Township School District,SSR Team,open,Y-m-d,firm,235066.82,169.0,336425.0,,Replace the existing split chiller with a new self-contained Daikin AGZ chiller.,execution,2022-07-11,2022-08-22,estimate,,,2022-08-29,,yellow,,,,2022-03-29 09:59:10,2022-06-14 08:44:12,2022-06-14 08:44:12
83,56,Green Roof Condominiums Install,National Realty Investment Advisors,SSR Team,open,Y-m-d,firm,"426,825.90",172.0,1398450.0,,"Provide and install the following specified systems (quantity, selection, and basis of design from G3 Architecture and Omdex Inc Consulting Engineers drawings dated 11.03.2017 for Project # 14108 M-100 thru M106 and M200):",execution,2022-02-01,2022-06-17,firm,,,2022-06-20,2022-02-02,green,,,,2022-03-29 10:06:36,2022-06-14 08:44:12,2022-06-14 08:44:12
84,2,DELEYE,,,closed,Y-m-d,estimate,,,,,,,2022-03-29,2022-07-22,estimate,,,,,green,,2022-05-18,2022-05-18 04:37:24,2022-03-29 15:17:53,2022-05-18 04:37:24,
85,2,New Vid Game Eos,,,closed,Y-m-d,estimate,,,,,,,2022-03-29,2022-05-27,estimate,,,,,green,,2022-03-29,2022-03-29 16:08:37,2022-03-29 15:31:26,2022-03-29 16:08:37,
86,2,Ovi-Subnet,,,closed,Y-m-d,estimate,,,,,,,2022-03-29,2022-07-29,estimate,,,,,green,,2022-03-30,2022-03-30 03:35:48,2022-03-29 16:10:50,2022-03-30 03:35:48,
